Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Кабель,Звук,XLR,Кабель звуковой,Короб 6,3,CBL_AUD_XLR_3,6,,,,,,
Кабель,Звук,XLR,Кабель звуковой,Короб 10,"2,5","CBL_AUD_XLR_2,5",10,,,,,,
Кабель,Звук,XLR,Кабель звуковой,Короб 20,2,CBL_AUD_XLR_2,20,,,,,,
Кабель,Звук,XLR,Кабель звуковой,Короб 51,10,CBL_AUD_XLR_10,51,,,,,,
Кабель,Звук,XLR,Кабель звуковой,Короб 20,1,CBL_AUD_XLR_1,20,,,,,,
Кабель,Звук,XLR,Кабель звуковой,Кроб 24,"0,5","CBL_AUD_XLR_0,5",24,,,,,,
Кабель,Звук,SAB - TOP,Кабель звуковой,Короб 4,3,CBL_AUD_SabTop_3,4,,,,,,
Звук,Оборудование,Колонка,Акустическая система DB Technologies B-HYPE 8,,B-HYPE 8,SND_EQP_SPK_B-HYPE 8,4,5,,,,,
Звук,Оборудование,Колонка,Акустическая система DB Technologies OPERA15,,OPERA15,SND_EQP_SPK_OPERA15,4,15,,,,,
Звук,Оборудование,Колонка,Акустическая система JBL PRX625,,PRX625,SND_EQP_SPK_PRX625,2,20,,,,,
Звук,Оборудование,Колонка,Акустическая система JBL PRX710,,PRX710,SND_EQP_SPK_PRX710,4,10,,,,,
Звук,Оборудование,Колонка,Акустическая система RCF ART425,,ART425,SND_EQP_SPK_ART425,2,15,,,,,
Звук,Оборудование,Колонка,Акустическая система RCF ART712,,ART712,SND_EQP_SPK_ART712,2,15,,,,,
Звук,Оборудование,Пульт,Аналоговый микшерный пульт Behringer QX602 MP3,,QX602,SND_EQP_MXR_QX602,4,5,,,,,
Звук,Оборудование,Пульт,Аналоговый микшерный пульт Behringer X1002,,X1002,SND_EQP_MXR_X1002,1,5,,,,,
Звук,Оборудование,Пульт,Аналоговый микшерный пульт Behringer X802,,X802,SND_EQP_MXR_X802,1,5,,,,,
Звук,Оборудование,Пульт,Аналоговый микшерный пульт Behringer X802(барабанщику),,X802 (drum),SND_EQP_MXR_X802 (drum),1,5,,,,,
Звук,Оборудование,Пульт,Аналоговый микшерный пульт Soundcraft Signature 10,,Signature 10,SND_EQP_MXR_Signature 10,1,10,,,,,
Звук,Оборудование,Прочее,Антенный сплиттер T Bone,,T-Bone,SND_EQP_OTH_T-Bone,1,,,,,,
Звук,Оборудование,БекЛайн,Барабанная установка Sonor Force 2007,,Force 2007,SND_EQP_BCK_Force 2007,1,30,,,,,
Звук,Оборудование,БекЛайн,Басовый комбо усилитель AMPEG BA-210,,AMPEG BA-210,SND_EQP_BCK_AMPEG BA-210,1,15,,,,,
