Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Связь,Оборудование,Рация,Рация Baofeng + Тангент (КОМП 6 ШТУК),,,CNX_EQP_RAD,2,,,,,,
Связь,Оборудование,Интерком,Система двухстороней связи Интерком Moma PRO 4 абонента,,PRO 4,CNX_EQP_ICM_PRO 4,1,,,,,,
Связь,Оборудование,Интерком,Система двухстороней связи Интерком Moma PRO 8 абонентов,,PRO 8,CNX_EQP_ICM_PRO 8,1,,,,,,
Кабель,Сигнальный,Оптика х4,Кабель сигнальный,,150,CBL_SIG_FOCх4_150,2,,,,,,
Кабель,Сигнальный,Оптика х2,Кабель сигнальный,,150,CBL_SIG_FOCх2_150,1,,,,,,
Кабель,Сигнальный,CAT 7e,Кабель сигнальный,,70,CBL_SIG_CAT7е_70,1,,,,,,
Кабель,Сигнальный,CAT 7e,Кабель сигнальный,,100,CBL_SIG_CAT7е_100,2,,,,,,
Кабель,Сигнальный,CAT 6eХ4,Кабель сигнальный,,30,CBL_SIG_CAT6eХ4_30,4,,,,,,
Кабель,Сигнальный,CAT 6eХ4,Кабель сигнальный,,20,CBL_SIG_CAT6eХ4_20,4,,,,,,
Кабель,Сигнальный,CAT 6eХ4,Кабель сигнальный,,15,CBL_SIG_CAT6eХ4_15,4,,,,,,
Кабель,Сигнальный,CAT 6eХ2,Кабель сигнальный,,50,CBL_SIG_CAT6eХ2_50,1,,,,,,
Кабель,Сигнальный,CAT 6eХ2,Кабель сигнальный,,20,CBL_SIG_CAT6eХ2_20,1,,,,,,
Кабель,Сигнальный,CAT 6eХ2,Кабель сигнальный,,15,CBL_SIG_CAT6eХ2_15,5,,,,,,
Кабель,Сигнальный,CAT 6e,Кабель сигнальный,,5,CBL_SIG_CAT6е_5,8,,,,,,
Кабель,Сигнальный,CAT 6e,Кабель сигнальный,,20,CBL_SIG_CAT6е_20,2,,,,,,
Кабель,Сигнальный,CAT 6e,Кабель сигнальный,,15,CBL_SIG_CAT6е_15,2,,,,,,
Кабель,Сигнальный,CAT 6e,Кабель сигнальный,,100,CBL_SIG_CAT6е_100,8,,,,,,
Кабель,Сигнальный,CAT 6e,Кабель сигнальный,,10,CBL_SIG_CAT6е_10,8,,,,,,
Кабель,Сигнальный,CAT 5e,Кабель сигнальный,,100,CBL_SIG_CAT5e_100,7,,,,,,
Спецэффекты,Расходники,CO2,Баллон СО2 10л,,10L,SFX_EXP_CO2_10L,3,,,,,,
Спецэффекты,Расходники,CO2,Баллон СО2 20л,,20L,SFX_EXP_CO2_20L,5,,,,,,
Спецэффекты,Расходники,CO2,Баллон СО2 40л,,40L,SFX_EXP_CO2_40L,7,,,,,,
Спецэффекты,Оборудование,,Генератор холодных искр V-1 Spark Machine с порошком,,SPARK,SFX_EQP_SPARK,4,,,,,,
Спецэффекты,Оборудование,,Криоджет СО2,,CO2,SFX_EQP_CO2,4,,,,,,
Спецэффекты,Оборудование,Система управления,Пульт дистанционного управления DMX 191-1 (Расчёска),,DMX 191-1,SFX_EQP_CPN_DMX 191-1,1,,,,,,
Спецэффекты,Оборудование,Система управления,Пульт дистанционного управления DMX 24 канала,,DMX 24,SFX_EQP_CPN_DMX 24,2,,,,,,
Спецэффекты,Оборудование,,Тяжёлый дым ,"Холодильная камера
Дым машина
Комплектующие (кейс)",Heavy smoke,SFX_EQP_Heavy smoke,1,,,,,,
Спецэффекты,Оборудование,Прочее,Betex Switch 1 ch,,SWITCH 1CH,SFX_EQP_OTH_SWITCH 1CH,1,,,,,,
Спецэффекты,Оборудование,Прочее,ShowTech MultiShitch,,SWITCH 4CH,SFX_EQP_OTH_SWITCH 4CH,1,,,,,,
Сцена,Сценическая конструкция,Тент,Тент двухскат 8х6,,8x6,SCN_ROOF_TENT_8x6,1,,,,,,
Сцена,Сценическая конструкция,Тент,Тент двухскат 7х5,,7x5,SCN_ROOF_TENT_7x5,2,,,,,,
Сцена,Сценическая конструкция,Тент,Тент односкат 6х4,,6x4,SCN_ROOF_TENT_6x4,1,,,,,,
Сцена,Сценическая конструкция,Тент,Тент односкат 5х4 с коньком,,5x4 (конёк),SCN_ROOF_TENT_5x4 (конёк),1,,,,,,
Сцена,Сценическая конструкция,Тент,Тент односкат 5х4,,5x4,SCN_ROOF_TENT_5x4,1,,,,,,
Сцена,Сценическая конструкция,Тент,Тент двухскат 12х10,,12x10,SCN_ROOF_TENT_12x10,1,,,,,,
Сцена,Сценическая конструкция,Сетка,Черная текстильная сетка задник (10х12м),,12x10_BACK,SCN_ROOF_FABNET_12x10_BACK,1,,,,,,
Сцена,Сценическая конструкция,Сетка,Черная текстильная сетка по 3-м сторонам (5х4м),,5х4,SCN_ROOF_FABNET_5х4,1,,,,,,
Сцена,Сценическая конструкция,Сетка,Черная текстильная сетка по 3-м сторонам (7х5м),,7х5,SCN_ROOF_FABNET_7х5,1,,,,,,
Сцена,Сценическая конструкция,Сетка,"Черная текстильная сетка по 3-м сторонам (8,7х6,5м)",,8х6,SCN_ROOF_FABNET_8х6,1,,,,,,
Сцена,Сценическая конструкция,Сетка,Черная текстильная сетка по бокам (10х12м),,12x10_SIDE,SCN_ROOF_FABNET_12x10_SIDE,1,,,,,,
Сцена,Сценическая конструкция,Ткань,Бархат,,BARHAT,SCN_ROOF_FAB_BARHAT,1,,,,,,
Сцена,Прочее,,Чехол для Еврокуба (черный) (комплект 2 штуки),,CASE_CUBE,SCN_OTH_CASE_CUBE,3,,,,,,
Сцена,Такелаж,Тросс,Трос метталический,,5,SCN_RIG_ROPE_5,8,,,,,,
Сцена,Такелаж,Тросс,Трос метталический,,4,SCN_RIG_ROPE_4,8,,,,,,
Сцена,Такелаж,Тросс,Трос метталический,,3,SCN_RIG_ROPE_3,8,,,,,,
Сцена,Такелаж,Тросс,Трос метталический,,10,SCN_RIG_ROPE_10,4,,,,,,
Сцена,Такелаж,Прочее,Вышка - Тура 8м,,TURA,SCN_RIG_OTH_TURA,1,,,,,,
Сцена,Такелаж,,Кейс FOR Reeging," (16а 15,20,25.30 по 4 шт)
Переходник Harting 16a4x (Роза)
GriGri
2 Верёвки
Каска",N1,SCN_RIG_N1,1,,,,,,
Сцена,Такелаж,,Кейс ОБВЯЗКА,"Страховочная обвязка 2
Жилет светоотражающий 2
Верёвка 2",N2,SCN_RIG_N2,1,,,,,,
Сцена,Такелаж,,Спансеты и Чекеля 1т ,,1T,SCN_RIG_1T,3,,,,,,
Сцена,Такелаж,,Спансеты и Чекеля 2т ,,2T,SCN_RIG_2T,2,,,,,,
Сцена,Крепление,Коннектор,Комплект коннекторов чемодан 10,,10pc,SCN_FIX_СON_10pc,1,,,,,,
Сцена,Труба,Проточенная,Труба проточенная,,3,SCN_PIPE_(P)_3,5,,,,,,
Сцена,Труба,SILVER,Труба серебрянная,,3,SCN_PIPE_(S)_3,12,,,,,,
Сцена,Ферма серебрянная,Облегчённая,Ферма K4-290 3 серебрянная облегченная,,3,SCN_FARM(S)_290_NB_3,4,,,,,,
Сцена,Ферма серебрянная,Столбовая,Ферма K4-290 3 серебрянная столбовая,,3,SCN_FARM(S)_290_OC_3,12,,,,,,
Сцена,Ферма чёрная,Облегчённая,Ферма K4-290 3 черная облегченная,,3,SCN_FARM(B)_290_NB_3,4,,,,,,
Сцена,Ферма серебрянная,Cтолбовая (390),Ферма K4-390 3 серебрянная,,3,SCN_FARM(S)_390_OC_3,12,,,,,,
Сцена,Труба,SILVER,Труба серебрянная,,2.75,SCN_PIPE_(S)_2.75,2,,,,,,
Сцена,Труба,Проточенная,Труба проточенная,,"2,75","SCN_PIPE_(P)_2,75",2,,,,,,
Сцена,Труба,Проточенная,Труба проточенная,,"2,5","SCN_PIPE_(P)_2,5",5,,,,,,
Сцена,Труба,SILVER,Труба серебрянная,,"2,5","SCN_PIPE_(S)_2,5",16,,,,,,
Сцена,Ферма серебрянная,Облегчённая,"Ферма K4-290 2,5 серебрянная",,"2,5","SCN_FARM(S)_290_NB_2,5",8,,,,,,
Сцена,Ферма чёрная,Облегчённая,"Ферма K4-290 2,5 черная",,"2,5","SCN_FARM(B)_290_NB_2,5",4,,,,,,
Сцена,Ферма серебрянная,Cтолбовая (390),"Ферма K4-390 2,5 серебрянная",,"2,5","SCN_FARM(S)_390_OC_2,5",7,,,,,,
Сцена,Труба,BLACK,Труба чёрная ,,2,SCN_PIPE_(B)_2,8,,,,,,
Сцена,Ферма серебрянная,Cтолбовая (390),Ферма 390 2 серебрянная,,2,SCN_FARM(S)_390_OC_2,4,,,,,,
Сцена,Прочее,Ремни и спанфиксы,"Ремень с трещёткой 15,5м",,"15,5","SCN_OTH_BELT_15,5",24,,,,,,
Сцена,Прочее,Ремни и спанфиксы,"Ремень с трещёткой 9,5м",,"9,5","SCN_OTH_BELT_9,5",8,,,,,,
Сцена,Прочее,Ремни и спанфиксы,Ремень с трещёткой оранжевый 1м,,1_O,SCN_OTH_BELT_1_O,18,,,,,,
Сцена,Прочее,Ремни и спанфиксы,"Ремень кожанный 0,2м (10 штук)",,"0,2_W","SCN_OTH_BELT_0,2_W",12,,,,,,
Сцена,Прочее,Ремни и спанфиксы,Ремень чёрный 1м (10 штук),,1_B,SCN_OTH_BELT_1_B,16,,,,,,
Сцена,Прочее,Ремни и спанфиксы,"Ремень чёрный 0,5м (10 штук)",,"0,5_B","SCN_OTH_BELT_0,5_B",18,,,,,,
Сцена,Труба,SILVER,Труба серебрянная,,"1,5","SCN_PIPE_(S)_1,5",4,,,,,,
Сцена,Труба,BLACK,Труба чёрная ,,"1,5","SCN_PIPE_(B)_1,5",8,,,,,,
Сцена,Ферма серебрянная,Cтолбовая (390),"Ферма 390 1,5 серебрянная",,"1,5","SCN_FARM(S)_390_OC_1,5",4,,,,,,
Сцена,Подиум,Ограждение,Ограждение сцены 2м,,2,SCN_PDM_FENC_2,24,,,,,,
Сцена,Подиум,Ограждение,Ограждение сцены 1м,,1,SCN_PDM_FENC_1,4,,,,,,
Сцена,Сценическая конструкция,Прочее,"Распорка 1,5м (соединение крыши и башни)",,"RASP_1,5","SCN_ROOF_OTH_RASP_1,5",12,,,,,,
Сцена,Сценическая конструкция,Прочее,Распорка 1м (соединение крыши и башни),,RASP_1,SCN_ROOF_OTH_RASP_1,16,,,,,,
Сцена,Труба,BLACK,Труба чёрная ,,1,SCN_PIPE_(B)_1,8,,,,,,
Сцена,Ферма серебрянная,Облегчённая,Ферма K4-290 1 метр серебрянная облегчённая,,1,SCN_FARM(S)_290_NB_1,4,,,,,,
Сцена,Ферма серебрянная,Столбовая,Ферма K4-290 1 метр серебрянная столбовая ,,1,SCN_FARM(S)_290_OC_1,8,,,,,,
Сцена,Ферма серебрянная,Угловой блок,"Угловой блок K4-290 Т-образный 1х0,5м ",,1,SCN_FARM(S)_CORNER BLOCK_1,8,,,,,,
Сцена,Ферма чёрная,Облегчённая,Ферма K4-290 1м черная облегчённая,,1,SCN_FARM(B)_290_NB_1,8,,,,,,
Сцена,Ферма серебрянная,Угловой блок 390,"Угловой блок K4-390 Т-образный 1x0,6м",,"1х0,6","SCN_FARM(S)_CORNER BLOCK_390_1х0,6",2,,,,,,
Сцена,Ферма серебрянная,Cтолбовая (390),Ферма K4-390 1м серебрянная,,1,SCN_FARM(S)_390_OC_1,2,,,,,,
Сцена,Ферма серебрянная,Угловой блок,"Угловой блок K4-290 0,8х0,8м ",,"0,8х0,8","SCN_FARM(S)_CORNER BLOCK_0,8х0,8",2,,,,,,
Сцена,Ферма серебрянная,Угловой блок,"Угловой блок K4-290 0,8x0,8x0,55м ",,"0,8x0,8х0,55","SCN_FARM(S)_CORNER BLOCK_0,8x0,8х0,55",4,,,,,,
Сцена,Ферма чёрная,Угловой блок,"Угловой блок K4-290 0,8х0,8м чёрный",,"0,8х0,8","SCN_FARM(B)_CORNER BLOCK_0,8х0,8",4,,,,,,
Сцена,Труба,BLACK,Труба чёрная ,,"0,75","SCN_PIPE_(B)_0,75",8,,,,,,
Сцена,Ферма серебрянная,Облегчённая,"Ферма K4-290 0,75м серебрянная облегчённая",,"0,75","SCN_FARM(S)_290_NB_0,75",12,,,,,,
Сцена,Ферма серебрянная,Cтолбовая (390),"Ферма K4-390 0,74м серебрянная",,"0,74","SCN_FARM(S)_390_OC_0,74",2,,,,,,
Сцена,Ферма серебрянная,Угловой блок,"Угловой блок K4-290 Т-образный 0,71х0,5м ",,"0,71","SCN_FARM(S)_CORNER BLOCK_0,71",2,,,,,,
Сцена,Труба,Проточенная,Труба проточенная,,"0,5","SCN_PIPE_(P)_0,5",4,,,,,,
Сцена,Труба,BLACK,Труба чёрная ,,"0,5","SCN_PIPE_(B)_0,5",8,,,,,,
Сцена,Ферма серебрянная,Угловой блок,"Угловой блок K4-290 0,5x0,5м",,"0,5","SCN_FARM(S)_CORNER BLOCK_0,5",4,,,,,,
Сцена,Труба,BLACK,Труба чёрная ,,"0,25","SCN_PIPE_(B)_0,25",7,,,,,,
Сцена,Сценическая конструкция,Cистема подъёма,Блок под эл.лебедку/ручную таль (бошка),,HEAD,SCN_ROOF_LIFT_STM_HEAD,13,,,,,,
Сцена,Прочее,Основание(блин),"Блин 0,5 (по 2 штуки)",,50,SCN_OTH_BASE_50,8,,,,,,
Сцена,Прочее,Основание(блин),"Блин 0,6",,60,SCN_OTH_BASE_60,12,,,,,,
Сцена,Прочее,Основание(блин),"Блин 0,8",,80,SCN_OTH_BASE_80,12,,,,,,
Сцена,Прочее,Основание(блин),Блин прямоугольный (по 2 штуки),,1м,SCN_OTH_BASE_1м,8,,,,,,
Сцена,Ферма серебрянная,Блок (8x6м),Скошенный блок стропильной системы крыши 8х6,,STROP,SCN_FARM(S)_BLOK(8х6)_STROP,4,,,,,,
Сцена,Ферма серебрянная,Блок (8x6м),Коньковой блок крыши 8х6м,,KONEK,SCN_FARM(S)_BLOK(8х6)_KONEK,2,,,,,,
Сцена,Ферма серебрянная,Блок (12х10м),Скошенный блок стропильной системы крыши 12х10,,STROP,SCN_FARM(S)_BLOK(12x10)_STROP,4,,,,,,
Сцена,Ферма серебрянная,Блок (12х10м),Коньковой блок крыши 12х10м,,KONEK,SCN_FARM(S)_BLOK(12x10)_KONEK,2,,,,,,
Сцена,Ферма серебрянная,Блок (7х5м),Блок регулировки высоты (копыта) черный,,KAPITO,SCN_FARM(S)_BLOK(7x5)_KAPITO,4,,,,,,
Сцена,Ферма серебрянная,Угловой блок,Блок с изменяемой геометрией под ферму K4-290,,ANGEL,SCN_FARM(S)_CORNER BLOCK_ANGEL,8,,,,,,
Сцена,Прочее,,Домкрат винтовой серебрянный на клэмпах,,LIFT_CLAMP,SCN_OTH_LIFT_CLAMP,8,,,,,,
Сцена,Прочее,,Домкрат винтовой серебрянный на полуконнекторах,,LIFT_CON,SCN_OTH_LIFT_CON,4,,,,,,
Сцена,Сценическая конструкция,Cистема подъёма,Каретка стандарт,,BOG_STRT,SCN_ROOF_LIFT_STM_BOG_STRT,11,,,,,,
Сцена,Сценическая конструкция,Cистема подъёма,Каретка удлиннённая ,,BOG_LRG,SCN_ROOF_LIFT_STM_BOG_LRG,2,,,,,,
Сцена,Прочее,,"Кейс для сборки сцены 8х6 и 10х12 
Комплект",,CASE_CON 1,SCN_OTH_CASE_CON 1,1,,,,,,
Сцена,Прочее,,Колесо,,WHEEL,SCN_OTH_WHEEL,24,,,,,,
Сцена,Прочее,,Колья,,KOLYA,SCN_OTH_KOLYA,8,,,,,,
Сцена,Сценическая конструкция,Cистема подъёма,Лапа для оснований,,,SCN_ROOF_LIFT_STM,24,,,,,,
Сцена,Подиум,Лестница,Лестница 5 ступеней,,5_STEP,SCN_PDM_STAIR_5_STEP,2,,,,,,
Сцена,Подиум,Лестница,Лестница 7 ступеней,,7_STEP,SCN_PDM_STAIR_7_STEP,2,,,,,,
Сцена,Подиум,Нога,"Нога 0,4 - 0,6",,"0,4-0,6","SCN_PDM_LEG_0,4-0,6",65,,,,,,
Сцена,Подиум,Нога,"Нога 0,8 - 1,2",,"0,8-1,2","SCN_PDM_LEG_0,8-1,2",72,,,,,,
Сцена,Подиум,Нога,"Нога 0,9 - 1,3",,"0,9-1,3","SCN_PDM_LEG_0,9-1,3",25,,,,,,
Сцена,Подиум,Нога,"Нога 1 - 1,6",,"1-1,6","SCN_PDM_LEG_1-1,6",116,,,,,,
Сцена,Сценическая конструкция,Cистема подъёма,Основание для сцены,,BASE,SCN_ROOF_LIFT_STM_BASE,6,,,,,,
Сцена,Подиум,Лестница,Перило для 5 ступеней,,5,SCN_PDM_STAIR_5,2,,,,,,
Сцена,Подиум,Лестница,Перило для 7 ступеней,,7,SCN_PDM_STAIR_7,2,,,,,,
Сцена,Подиум,OutDoor,"Подиум 1х0,5 Внешний",,"1x0,5","SCN_PDM_OUT_1x0,5",6,,,,,,
Сцена,Подиум,OutDoor,Подиум 1х1 Внешний,,1x1,SCN_PDM_OUT_1x1,2,,,,,,
Сцена,Подиум,InDoor,Подиум 1х1 Внутренний,,1x1,SCN_PDM_IN_1x1,6,,,,,,
Сцена,Подиум,OutDoor,"Подиум 2х0,5 Внешний",,"2x0,5","SCN_PDM_OUT_2x0,5",16,,,,,,
Сцена,Подиум,OutDoor,Подиум 2х1 Внешний,,2x1,SCN_PDM_OUT_2x1,72,,,,,,
Сцена,Подиум,InDoor,Подиум 2х1 Внутренний,,2x1,SCN_PDM_IN_2x1,28,,,,,,
Сцена,Ферма серебрянная,Усиленная,"Ферма (придаток) K4-290 0,25м серебрянный",,"0,25","SCN_FARM(S)_290_OB_0,25",24,,,,,,
Сцена,Ферма чёрная,Усиленная,"Ферма (придаток) K4-290 0,25м чёрный",,,SCN_FARM(B)_290_OB,8,,,,,,
Сцена,Крепление,Прочее,Система крепления колеса для мобильной сценической конструкции K4-290,,,SCN_FIX_OTH,4,,,,,,
Сцена,Труба,Прочее,Состыковка для труб серебрянная,,CON,SCN_PIPE_OTH_CON,18,,,,,,
Сцена,Ферма серебрянная,Блок (7х5м),Стропильная система для крыши 7х5,,,SCN_FARM(S)_BLOK(7x5),4,,,,,,
Сцена,Ферма серебрянная,Блок (8x6м),Стульчик K4-290 для поддержки тента крыши 8х6,,,SCN_FARM(S)_BLOK(8х6),4,,,,,,
Сцена,Ферма серебрянная,Блок (12х10м),Стульчик K4-390 для поддержки тента крыши 12х10,,,SCN_FARM(S)_BLOK(12x10),4,,,,,,
Сцена,Подиум,Лестница,"Ступенька 1х0,5х0,2",,"1х0,5х0,2","SCN_PDM_STAIR_1х0,5х0,2",1,,,,,,
Сцена,Сценическая конструкция,Cистема подъёма,Упор для основания каретки,,PIPE,SCN_ROOF_LIFT_STM_PIPE,24,,,,,,
Сцена,Ферма чёрная,Облегчённая,"Ферма K4-290 0,5м чёрная облегченная",,"0,5","SCN_FARM(B)_290_NB_0,5",8,,,,,,
Сцена,Ферма серебрянная,Столбовая,"Ферма K4-290 0,5м серебрянная столбовая",,"0,5","SCN_FARM(S)_290_OC_0,5",7,,,,,,
Сцена,Ферма серебрянная,Облегчённая,"Ферма K4-290 1,5м серебрянная облегченная",,"1,5","SCN_FARM(S)_290_NB_1,5",8,,,,,,
Сцена,Ферма чёрная,Облегчённая,"Ферма K4-290 1,5м черная облегченная",,"1,5","SCN_FARM(B)_290_NB_1,5",4,,,,,,
Сцена,Ферма серебрянная,Облегчённая,Ферма K4-290 2м серебрянная облегченная,,2,SCN_FARM(S)_290_NB_2,12,,,,,,
Сцена,Ферма серебрянная,Усиленная,Ферма K4-290 2м серебрянная усиленная,,2,SCN_FARM(S)_290_OB_2,6,,,,,,
Сцена,Ферма чёрная,Облегчённая,Ферма K4-290 2м черная облегченная,,,SCN_FARM(B)_290_NB,4,,,,,,
Сцена,Ферма серебрянная,Усиленная,Ферма 290 Куб серебристый,,CUBE,SCN_FARM(S)_290_OB_CUBE,8,,,,,,
Сцена,Ферма чёрная,Усиленная,Ферма 290 Куб черный,,CUBE,SCN_FARM(B)_290_OB_CUBE,2,,,,,,
Сцена,Ферма серебрянная,Угловой блок 390,"Угловой блок K4-390 0,6x0,6х0,6м",,"0,6x0,6x0,6","SCN_FARM(S)_CORNER BLOCK_390_0,6x0,6x0,6",4,,,,,,
Сцена,Ферма серебрянная,Радиусная,Фермовая радиусная конструкция К4-290 (1/4 круга диаметром 4м),,3,SCN_FARM(S)_RAD_3,8,,,,,,
Сцена,Ферма серебрянная,Столбовая,290 столбовая (Серебро),,4,SCN_FARM(S)_290_OC_4,14,,,,,,
Сцена,Ферма серебрянная,Усиленная,290 усиленная (Серебро),,4,SCN_FARM(S)_290_OB_4,8,,,,,,
Сцена,Ферма серебрянная,Облегчённая,290 облегчённая (Серебро),,4,SCN_FARM(S)_290_NB_4,8,,,,,,
Сцена,Прочее,,Вентилятор наполный Oazis vn 110B,,FAN_OAZIS,SCN_OTH_FAN_OAZIS,4,,,,,,
Сцена,Прочее,Пригруз,Еврокуб,В комплекте всегда чехол,CUBE,SCN_OTH_CARGO_CUBE,5,,,,,,
Сцена,Прочее,Палатка,"Каркас для палатки 4,5х3",,,SCN_OTH_PALATKA,3,,,,,,
Сцена,Крепление,Clamp X1,Клемп  одинарный чёрный,,,SCN_FIX_CLAMP_X1,263,,,,,,
Сцена,Крепление,Clamp X2,Клемп двойной черный,,Black,SCN_FIX_CLAMP_X2_Black,40,,,,,,
Сцена,Крепление,Clamp + Connector,Клемп с полуконнектором черный,короб 30,,SCN_FIX_CLAMP_CON,30,,,,,,
Сцена,Крепление,Clamp + Connector,Клемп с полуконнектором увеличенный 50мм,плюс в кейсе шлейфа,50,SCN_FIX_CLAMP_CON_50,8,,,,,,
Сцена,Крепление,Clamp X2,Клемп усиленный двойной серебро,2 короба по 24,STRONG(S),SCN_FIX_CLAMP_X2_STRONG(S),48,,,,,,
Сцена,Крепление,Коннектор,Комплект коннекторов чемодан 20шт,,20pc,SCN_FIX_СON_20pc,1,,,,,,
Сцена,Крепление,Коннектор,Комплект коннекторов чемодан 44шт,,44pc,SCN_FIX_СON_44pc,4,,,,,,
Сцена,Крепление,Полуконнектор,Комплект Полуконнекторов 24шт,,24pc,SCN_FIX_CON_HALF_24pc,4,,,,,,
Сцена,Крепление,Полуконнектор,Комплект Полуконнекторов 32шт,,32pc,SCN_FIX_CON_HALF_32pc,2,,,,,,
Сцена,Крепление,Прочее,Крепление для перевозки ферм,,TRANS,SCN_FIX_OTH_TRANS,63,,,,,,
Сцена,Крепление,Прочее,Крепления для ограждения,,FENC,SCN_FIX_OTH_FENC,65,,,,,,
Сцена,Прочее,Палатка,"Крыша для палатки 4,5х3 (белая)",,ROOF(W),SCN_OTH_PALATKA_ROOF(W),2,,,,,,
Сцена,Прочее,Палатка,"Крыша для палатки 4,5х3 (серая)",,ROOF(G),SCN_OTH_PALATKA_ROOF(G),1,,,,,,
Сцена,Подиум,Нога,Нога 20,,20,SCN_PDM_LEG_20,88,,,,,,
Сцена,Подиум,Нога,Нога 25,,25,SCN_PDM_LEG_25,32,,,,,,
Сцена,Подиум,Нога,Нога 50-70,,50-70,SCN_PDM_LEG_50-70,50,,,,,,
Сцена,Подиум,Нога,Переходная нога 20,,20P,SCN_PDM_LEG_20P,44,,,,,,
Сцена,Подиум,Нога,Переходная нога 25,,25P,SCN_PDM_LEG_25P,32,,,,,,
Сцена,Лебёдка,Система управления,Пульт управления лебёдкой 4 выхода,,OUT_4,SCN_MOVER_CPN_OUT_4,4,,,,,,
Сцена,Лебёдка,Система управления,Пульт управления лебёдкой 8 выходов,,OUT_8,SCN_MOVER_CPN_OUT_8,2,,,,,,
Сцена,Прочее,Ткань,"Раус сцены чёрного цвета 14х0,43",,"14x0,43","SCN_OTH_FAB_14x0,43",3,,,,,,
Сцена,Прочее,Ткань,"Раус сцены чёрного цвета 20х1,2",,"20x1,2","SCN_OTH_FAB_20x1,2",1,,,,,,
Сцена,Прочее,Ткань,"Раус сцены чёрного цвета 8х0,6",,"8x0,6","SCN_OTH_FAB_8x0,6",2,,,,,,
Сцена,Подъёмник,Прочее,Рога,,HEAD,SCN_LIFT_OTH_HEAD,8,,,,,,
Сцена,Лебёдка,Ручная,"Ручная таль 0,5т/6м",,6,SCN_MOVER_Hand_6,4,,,,,,
Сцена,Лебёдка,Ручная,"Ручная таль 0,5т/8м",,8,SCN_MOVER_Hand_8,3,,,,,,
Сцена,Лебёдка,Ручная,"Ручная таль 0,5т/9м",,9,SCN_MOVER_Hand_9,9,,,,,,
Сцена,Труба,BLACK,"Система крепления u-frame 0,85x0,85 (4 штуки)",,U_FRAME,SCN_PIPE_(B)_U_FRAME,4,,,,,,
Сцена,Прочее,Ремни и спанфиксы,Спанфикс,6 по 50 и 5 по 25,SPANFIX,SCN_OTH_BELT_SPANFIX,425,,,,,,
Сцена,Прочее,,Стакан 75мм,,"STAKAN 0,075","SCN_OTH_STAKAN 0,075",24,,,,,,
Сцена,Сценическая конструкция,Тент,Стенки из тента для односкатной крыши 5х4 с коньком,,5x4_SIDE,SCN_ROOF_TENT_5x4_SIDE,1,,,,,,
Сцена,Прочее,Ткань,Сумка с тряпками,,BAG,SCN_OTH_FAB_BAG,1,,,,,,
Сцена,Подъёмник,,Телескопический подъёмник EUROLight ST4000/85,,EUROLIGHT,SCN_LIFT_EUROLIGHT,4,,,,,,
Сцена,Подъёмник,,Телескопический подъёмник Hercules ST3000/40,,HERCULES,SCN_LIFT_HERCULES,2,,,,,,
Сцена,Подъёмник,,Телескопический подъёмник TAVR ST6000/320,,TAVR,SCN_LIFT_TAVR,4,,,,,,
Сцена,Труба,,Труба Т образная чёрная,,,SCN_PIPE,16,,,,,,
Сцена,Прочее,,Фонарь напольный,,LAMP,SCN_OTH_LAMP,2,,,,,,
Сцена,Прочее,Ремни и спанфиксы,"Ремень 9,5м",,9_5,SCN_OTH_BELT_9_5,0,,,,,,
Сцена,Прочее,Ремни и спанфиксы,"Ремень 15,5м",,15_5,SCN_OTH_BELT_15_5,0,,,,,,
Сцена,Прочее,Ремни и спанфиксы,Трещётка для ремня,,RATCHET,SCN_OTH_BELT_RATCHET,0,,,,,,
Сцена,Прочее,,Шарнирная пара,,SHARNIR,SCN_OTH_SHARNIR,17,,,,,,
Прочее,Ширма,,Ширма по 4,,4,OTH_FAB_SCRN_4,3,,,,,,
Прочее,Ширма,,Ширма по 6,,6,OTH_FAB_SCRN_6,1,,,,,,
Сцена,Лебёдка,Электрическая,Электирическая цепная лебёдка 1т 24м MODE 611,3 кейса по 2 штуки,MODE_611,SCN_MOVER_Elect_MODE_611,3,,,,,,
Сцена,Лебёдка,Электрическая,Электирическая цепная лебёдка 1т 24м MODE V6-R,4 кейса по 1 штуке,MODE_V6R,SCN_MOVER_Elect_MODE_V6R,4,,,,,,
Сцена,Лебёдка,Электрическая,Электирическая цепная лебёдка IP65 1т 24м SU,В деревянных ящиках,SU_IP65,SCN_MOVER_Elect_SU_IP65,8,,,,,,
Прочее,Прочее,,Кувалда,,HAMMER,OTH_OTH_HAMMER,2,,,,,,
Прочее,Стол,,Стол раскладной,,X2,OTH_DESK_X2,1,,,,,,
Прочее,Стул,,Стул складной,,,OTH_CHAIR,6,,,,,,
Электроснабжение,Защита,,Кабель канал 1х,,KKL1x,PWR_PRO_KKL1x,32,,,,,,
Электроснабжение,Защита,,Кабель канал 2х,,KKL2x,PWR_PRO_KKL2x,9,,,,,,
Электроснабжение,Защита,,Кабель канал 3х,,KKL3x,PWR_PRO_KKL3x,29,,,,,,
Кабель,Силовой,SCHUKO,Кабель Силовой,Кейс 12,5,CBL_PWR_SCH_5,13,,,,,,
Кабель,Силовой,SCHUKO,Кабель Силовой,Кейс 14,10,CBL_PWR_SCH_10,14,,,,,,
